,Unnamed: 0,ID,Title,Lat,Lon,Slug,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
79,79,267289365,Moskovskiye Vorota,59.8933019621,30.3174014471,moskovskiye-vorota,116,98,164,187,157,157,110,103,67,132,106,111,101,128,100,117,115,122,121,139,146,145,123,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,29378917,Ладожский Парк,59.93217098,30.46547545,,357,314,353,216,154,71,41,46,125,166,122,177,169,101,109,120,101,148,91,81,94,94,65,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,264707268,Domina St. Petersburg,59.93103000000001,30.30418,domina-st-petersburg,49,35,47,44,46,32,52,81,100,58,52,77,62,34,47,30,28,25,30,33,22,32,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,997744377007215,Ресторан «Маймун» 24 часа,59.93877,30.21415,24,161,328,256,255,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,229668418,Ресторан BADEN BADEN,60.041230000000006,30.38915,baden-baden,59,61,98,69,104,110,124,100,104,142,132,127,116,112,123,89,42,84,34,40,35,44,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,613307863,Я люблю La Panorama,59.9331432741,30.2574633265,la-panorama,110,158,183,123,130,130,153,114,100,119,87,109,95,111,124,129,123,114,85,99,90,89,96,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,979373391,"Клубный ресторан ""Истерия""",60.035419999999995,30.32964,,64,52,98,91,39,27,64,53,51,127,55,92,56,52,59,27,11,14,4,10,13,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,217007152,"O'Hooligans на Б. Конюшенной, 14",59.93639,30.322879999999998,ohooligans-14,162,94,134,100,156,135,116,91,126,146,124,161,192,81,129,100,94,159,154,137,91,70,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,467644410,Морской каскад&фасад,59.9541134397,30.211990951399997,,165,151,132,132,164,199,175,158,100,0,2,9,1,0,0,0,2,0,1,0,1,25,58,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,268644336,Vosstaniya Square,59.931000000000004,30.362,vosstaniya-square,863,897,2031,2844,3181,2223,2431,2302,1798,256,269,790,703,493,403,362,392,204,271,371,477,520,466,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
